At time[2], Node[1] sending [ACK] with number[1], loss[No]
At time[2.5], Node[1] sending [ACK] with number[2], loss[No]
At time[3], Node[1] sending [ACK] with number[3], loss[No]
At time[3.5], Node[1] sending [ACK] with number[4], loss[No]
At time[5], Node[1] sending [ACK] with number[0], loss[No]
At time[5.5], Node[1] sending [ACK] with number[1], loss[No]
At time[6], Node[1] sending [NACK] with number[1], loss[No]
At time[16.5], Node[1] sending [ACK] with number[2], loss[No]
At time[17], Node[1] sending [ACK] with number[3], loss[No]
At time[21.5], Node[1] sending [ACK] with number[4], loss[No]
At time[28.5], Node[1] sending [ACK] with number[0], loss[No]
At time[29], Node[1] sending [ACK] with number[1], loss[No]
At time[29.5], Node[1] sending [ACK] with number[2], loss[No]
At time[30], Node[1] sending [ACK] with number[3], loss[No]
At time[35.5], Node[1] sending [ACK] with number[4], loss[No]
At time[42.5], Node[1] sending [ACK] with number[0], loss[No]
At time[43], Node[1] sending [ACK] with number[1], loss[No]
